,f (Hz),GDOmega (rad),shear (Hz),f_c_SFG (Hz)
0,243000000000000.0,-0.8313976515691028,1000000000000,261200000000000.0
1,243100000000000.0,-0.8277583555463506,1000000000000,261200000000000.0
2,243200000000000.0,-0.8241087572092427,1000000000000,261200000000000.0
3,243300000000000.0,-0.820448891574854,1000000000000,261200000000000.0
4,243400000000000.0,-0.8167787934492317,1000000000000,261200000000000.0
5,243500000000000.0,-0.8130984974350224,1000000000000,261200000000000.0
6,243600000000000.0,-0.8094080379100044,1000000000000,261200000000000.0
7,243700000000000.0,-0.8057074490505127,1000000000000,261200000000000.0
8,243800000000000.0,-0.801996764824932,1000000000000,261200000000000.0
9,243900000000000.0,-0.79827601898083,1000000000000,261200000000000.0
10,244000000000000.0,-0.7945452450709205,1000000000000,261200000000000.0
11,244100000000000.0,-0.7908044764341979,1000000000000,261200000000000.0
12,244200000000000.0,-0.7870537461982319,1000000000000,261200000000000.0
13,244300000000000.0,-0.7832930872963295,1000000000000,261200000000000.0
14,244400000000000.0,-0.7795225324454813,1000000000000,261200000000000.0
15,244500000000000.0,-0.7757421141612613,1000000000000,261200000000000.0
16,244600000000000.0,-0.7719518647625612,1000000000000,261200000000000.0
17,244700000000000.0,-0.7681518163524974,1000000000000,261200000000000.0
18,244800000000000.0,-0.7643420008417361,1000000000000,261200000000000.0
19,244900000000000.0,-0.7605224499395469,1000000000000,261200000000000.0
20,245000000000000.0,-0.7566931951446563,1000000000000,261200000000000.0
21,245100000000000.0,-0.7528542677684382,1000000000000,261200000000000.0
22,245200000000000.0,-0.7490056989160574,1000000000000,261200000000000.0
23,245300000000000.0,-0.7451475194915189,1000000000000,261200000000000.0
24,245400000000000.0,-0.7412797602112897,1000000000000,261200000000000.0
25,245500000000000.0,-0.737402451584106,1000000000000,261200000000000.0
26,245600000000000.0,-0.7335156239267353,1000000000000,261200000000000.0
27,245700000000000.0,-0.7296193073660295,1000000000000,261200000000000.0
28,245800000000000.0,-0.725713531822274,1000000000000,261200000000000.0
29,245900000000000.0,-0.7217983270320432,1000000000000,261200000000000.0
30,246000000000000.0,-0.7178737225371818,1000000000000,261200000000000.0
31,246100000000000.0,-0.7139397476792506,1000000000000,261200000000000.0
32,246200000000000.0,-0.7099964316195948,1000000000000,261200000000000.0
33,246300000000000.0,-0.7060438033212368,1000000000000,261200000000000.0
34,246400000000000.0,-0.7020818915557618,1000000000000,261200000000000.0
35,246500000000000.0,-0.6981107249140366,1000000000000,261200000000000.0
36,246600000000000.0,-0.6941303317877088,1000000000000,261200000000000.0
37,246700000000000.0,-0.690140740385607,1000000000000,261200000000000.0
38,246800000000000.0,-0.6861419787332548,1000000000000,261200000000000.0
39,246900000000000.0,-0.6821340746589324,1000000000000,261200000000000.0
40,247000000000000.0,-0.6781170558153018,1000000000000,261200000000000.0
41,247100000000000.0,-0.6740909496671017,1000000000000,261200000000000.0
42,247200000000000.0,-0.6700557834887706,1000000000000,261200000000000.0
43,247300000000000.0,-0.6660115843812542,1000000000000,261200000000000.0
44,247400000000000.0,-0.6619583792550814,1000000000000,261200000000000.0
45,247500000000000.0,-0.6578961948386024,1000000000000,261200000000000.0
