,f_discrete (Hz),phase_discrete (rad)
0,243200000000000.0,7.637456512097044
1,244200000000000.0,6.850402765898812
2,245200000000000.0,6.101397066982755
3,246200000000000.0,5.39140063536316
4,247200000000000.0,4.72134485187439
5,248200000000000.0,4.0921331605835025
6,249200000000000.0,3.5046428986927443
7,250200000000000.0,2.9597270572847583
8,251200000000000.0,2.458215977511385
9,252200000000000.0,2.000918987972643
10,253200000000000.0,1.5886259901826019
11,254200000000000.0,1.2221090001440278
12,255200000000000.0,0.902123655056515
13,256200000000000.0,0.6294106951557941
14,257200000000000.0,0.40469743157363114
15,258200000000000.0,0.2286992118756812
16,259200000000000.0,0.10212089564362836
17,260200000000000.0,0.02565835306632036
18,261200000000000.0,0.0
19,262200000000000.0,0.025828383377317854
20,263200000000000.0,0.10382183115857369
21,264200000000000.0,0.2346561812709549
22,265200000000000.0,0.4190066041570226
23,266200000000000.0,0.657549533660291
24,267200000000000.0,0.9509647210715748
25,268200000000000.0,1.2999374271865025
26,269200000000000.0,1.705160767232984
27,270200000000000.0,2.1673382235587306
28,271200000000000.0,2.6871863409214702
29,272200000000000.0,3.2654376191838606
30,273200000000000.0,3.90284361816641
31,274200000000000.0,4.60017828920712
32,275200000000000.0,5.358241547710733
33,276200000000000.0,6.177863100525372
34,277200000000000.0,7.05990654115279
35,278200000000000.0,8.0052737246356
36,279200000000000.0,9.014909432192159
37,280200000000000.0,10.089806332982729
38,281200000000000.0,11.231010246735663
39,282200000000000.0,12.43962570581821
40,283200000000000.0,13.71682180824996
41,284200000000000.0,15.063838343871762
42,285200000000000.0,16.481992163575264
43,286200000000000.0,17.97268374553134
44,287200000000000.0,19.537403892290847
45,288200000000000.0,21.177740467416044
46,289200000000000.0,22.89538504945002
47,290200000000000.0,24.692139344321035
48,291200000000000.0,26.569921154382865
49,292200000000000.0,28.530769654107544
50,293200000000000.0,30.576849671032182
51,294200000000000.0,32.710454618956945
52,295200000000000.0,34.93400768464343
